# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
153.8000 M2$2 10000 36 33.8000 s1 p101 59 N s1->c141->s37->s66->s83->c229->c177->c250->s56->c236->c240->c116->c107->c174->c185->c187->c119->c122->c223->s74->c198->s35->s67->s0->s9->s59->s28->s89->c117->s60->s86->s45->c144->s73->s25->s40->p101
180.0000 M38$3 10000 31 0.0000 s37 p100 60 N s37->s66->s83->c250->s56->c236->c118->c122->c187->c119->c174->c116->c240->c221->c233->c108->c235->c237->s74->c223->c107->c128->c185->c224->c114->c135->c130->c195->c123->c253->c159->p100
182.4000 M30$1 10000 29 122.4000 s29 p100 57 N s29->s2->s46->c244->p102->c113->c249->s44->s88->s79->s49->c168->c141->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c195->c123->c253->c159->p100
182.4000 M3$2 10000 30 62.4000 s2 p100 58 N s2->s29->s46->s11->c113->p102->c249->c194->s44->s88->s79->s49->c168->c141->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c195->c123->c253->c159->p100
182.4000 M45$3 10000 21 2.4000 s44 p100 59 N s44->s88->s79->s49->c249->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c195->c123->c253->c159->p100
182.4000 M45$2 10000 22 62.4000 s44 p100 58 N s44->s88->s79->s49->c168->c141->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c195->c123->c253->c159->p100
182.4000 M47$2 10000 28 62.4000 s46 p100 58 N s46->s11->c113->p102->c249->c194->s44->s88->s79->s49->c168->c141->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c195->c123->c253->c159->p100
182.4000 M50$3 10000 30 2.4000 s49 p103 59 N s49->c249->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c185->c236->c118->c122->c187->c177->c106->c215->c197->c209->c243->c247->c228->c139->c120->c204->p103
182.4000 M50$2 10000 31 62.4000 s49 p103 58 N s49->c168->c141->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c185->c236->c118->c122->c187->c177->c106->c215->c197->c209->c243->c247->c228->c139->c120->c204->p103
182.4000 M12$1 10000 40 122.4000 s11 p103 57 N s11->s46->c244->p102->c113->c249->s44->s88->s79->s49->c168->c141->s77->c205->s83->c250->s56->s66->s37->c158->c224->c114->c135->c130->c185->c236->c118->c122->c187->c177->c106->c215->c197->c209->c243->c247->c228->c139->c120->c204->p103
185.3000 M40$2 10000 66 65.3000 s39 p102 58 N s39->c230->c109->c220->c217->s20->s84->s30->s58->s71->c133->s28->s59->s0->s9->s67->s35->c149->c183->c162->c108->c163->c237->c221->c235->c115->c107->c116->c174->c240->c187->c119->c223->c122->c236->s56->c250->s83->s37->s66->c148->c123->c130->c114->c224->c135->c159->c229->p100->c253->c209->c195->c142->c158->c219->c177->c106->c215->c197->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M46$2 10000 34 65.3000 s45 p102 58 N s45->s86->c117->s84->s20->s30->s58->s71->c220->c217->c109->s57->c246->s27->c164->c241->s23->s14->c191->c129->c145->c150->s24->s34->s10->s3->s78->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M27$1 10000 52 125.3000 s26 p102 57 N s26->c191->c182->s23->s14->c246->c180->c241->s72->s51->c157->c154->c146->s50->c136->s54->s24->s34->s10->s3->s78->c126->c213->c129->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c247->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M25$3 10000 11 5.3000 s24 p102 59 N s24->s34->s10->s3->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M44$1 10000 48 125.3000 s43 p102 57 N s43->s41->s61->c212->c220->s81->s90->c183->s28->s59->s0->c180->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c247->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M39$2 10000 41 65.3000 s38 p102 58 N s38->s4->s19->c151->c110->c208->s65->s45->s86->c117->s84->s20->s30->s58->s71->c220->c217->c109->s57->c246->s27->c164->c241->s23->s14->c191->c129->c145->c150->s24->s34->s10->s3->s78->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M18$1 10000 78 125.3000 s17 p102 57 N s17->s97->c199->c134->c239->c125->c143->c152->c171->c251->c227->c211->c225->c189->c184->c242->c231->c138->c217->c121->s38->c110->s4->c200->s65->s45->s86->s60->s7->c193->s61->s41->s43->c212->c220->s81->s90->c183->s28->s59->s0->c180->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c247->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M11$3 10000 9 5.3000 s10 p102 59 N s10->s3->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M13$2 10000 41 65.3000 s12 p102 58 N s12->c201->s1->c141->s37->s66->s83->c229->c177->c250->s56->c236->c240->c116->c107->c174->c185->c187->c119->c122->c223->c222->c106->c219->c142->c148->c123->c209->c139->c120->c228->c243->c204->p103->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M43$1 10000 47 125.3000 s42 p102 57 N s42->s13->c212->c220->s81->s90->c183->s28->s59->s0->c180->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c247->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M41$2 10000 47 65.3000 s40 p102 58 N s40->p101->c234->c127->c121->c134->c151->s38->s4->s19->c110->c208->s65->s45->s86->c117->s84->s20->s30->s58->s71->c220->c217->c109->s57->c246->s27->c164->c241->s23->s14->c191->c129->c145->c150->s24->s34->s10->s3->s78->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M19$2 10000 37 65.3000 s18 p102 58 N s18->s93->s65->s45->s86->c117->s84->s20->s30->s58->s71->c220->c217->c109->s57->c246->s27->c164->c241->s23->s14->c191->c129->c145->c150->s24->s34->s10->s3->s78->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M35$1 10000 41 125.3000 s34 p102 57 N s34->s10->s3->s78->s24->s54->c136->s50->c154->c157->s51->c146->c241->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c247->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M10$1 10000 34 125.3000 s9 p102 57 N s9->s0->s67->s35->c149->c117->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c247->c168->s49->s79->s63->s88->s44->c216->p102
185.3000 M28$2 10000 16 65.3000 s27 p102 58 N s27->c164->c241->c132->c191->c182->s23->s14->c129->c126->s69->s44->s88->c166->c194->c216->p102
185.3000 M4$2 10000 66 65.3000 s3 p102 58 N s3->s10->s34->s24->s54->c136->s50->c178->c129->s51->s72->c246->c181->s0->s9->s67->s35->c149->c183->c162->c108->c163->c237->c221->c235->c115->c107->c116->c174->c240->c187->c119->c223->c122->c236->s56->c250->s83->s37->s66->c148->c123->c130->c114->c224->c135->c159->c229->p100->c253->c209->c195->c142->c158->c219->c177->c106->c215->c197->c168->s49->s79->s63->s88->s44->c216->p102
186.1000 M24$1 10000 43 126.1000 s23 p104 57 N s23->s14->c246->c180->c181->s28->c183->s71->s84->s20->s30->s42->s13->c193->s7->s60->s86->s45->s65->s93->s18->c110->c208->s4->s38->c151->p101->s40->c206->c127->c248->c143->c152->c225->c211->c251->c179->c171->c227->c210->c214->c226->c153->p104
186.1000 M36$1 10000 34 126.1000 s35 p104 57 N s35->s67->c149->c117->c238->s93->s18->s65->c110->s38->s4->s19->c208->c151->c192->c121->s17->s97->c199->c242->c184->c189->c125->c239->c225->c211->c251->c179->c171->c227->c210->c214->c226->c153->p104
186.1000 M15$1 10000 43 126.1000 s14 p104 57 N s14->c246->s23->c180->c181->s28->c183->s71->s84->s20->s30->s42->s13->c193->s7->s60->s86->s45->s65->s93->s18->c110->c208->s4->s38->c151->p101->s40->c206->c127->c248->c143->c152->c225->c211->c251->c179->c171->c227->c210->c214->c226->c153->p104
186.1000 M8$2 10000 27 66.1000 s7 p104 58 N s7->s60->s86->s45->s65->s93->s18->c208->c110->s4->s38->s19->c151->c121->c234->c127->c248->c143->c152->c225->c211->c251->c179->c171->c227->c226->c153->p104
190.6000 M23$3 10000 8 10.6000 s22 p101 59 N s22->c245->s19->s38->s4->c110->c127->c234->p101
190.6000 M22$3 10000 8 10.6000 s21 p101 59 N s21->c245->s19->s38->s4->c110->c127->c234->p101
190.6000 M24$2 10000 36 70.6000 s23 p101 58 N s23->s14->c129->c126->c213->s50->c154->s51->s72->c178->c181->c180->c149->c217->c220->s20->s84->s30->s42->s13->c193->s7->s60->s86->s45->s65->s93->s18->c238->c105->s4->s38->s19->c110->c127->c234->p101
190.6000 M20$3 10000 6 10.6000 s19 p101 59 N s19->s38->s4->c110->c127->c234->p101
190.6000 M43$3 10000 18 10.6000 s42 p101 59 N s42->s13->c202->c193->s7->s60->s86->s45->s65->s93->s18->c105->s4->s38->s19->c110->c127->c234->p101
190.6000 M17$2 10000 40 70.6000 s16 p101 58 N s16->c136->s10->s3->s34->s24->s54->c129->c213->s50->c154->s51->s72->c178->c181->c180->c149->c217->c220->s20->s84->s30->s42->s13->c193->s7->s60->s86->s45->s65->s93->s18->c238->c105->s4->s38->s19->c110->c127->c234->p101
192.4000 M13$3 10000 34 12.4000 s12 p103 59 N s12->c141->s77->s6->c205->c106->c250->s56->s83->s37->s66->c158->c224->c114->c135->c130->c185->c236->c118->c122->c187->c177->c215->c197->c219->c148->c209->c243->c247->c228->c139->c120->c142->c204->p103
192.4000 M2$3 10000 35 12.4000 s1 p103 59 N s1->c201->c141->s77->s6->c205->c106->c250->s56->s83->s37->s66->c158->c224->c114->c135->c130->c185->c236->c118->c122->c187->c177->c215->c197->c219->c148->c209->c243->c247->c228->c139->c120->c142->c204->p103
193.6000 M23$2 10000 66 73.6000 s22 p103 58 N s22->c110->s4->s38->s19->c151->s65->s93->s18->c208->s45->s86->c117->s84->s20->s30->s58->s71->c220->c217->c109->s57->c246->s27->c164->c241->s23->s14->c191->c129->c145->c150->s24->s34->s10->s3->s78->c126->s69->s44->s88->s79->s49->c249->s77->c205->c106->c250->s56->s83->s37->s66->c158->c224->c114->c135->c130->c195->c123->c229->c142->c139->c120->c247->c228->c204->p103
193.6000 M18$2 10000 78 73.6000 s17 p100 58 N s17->s97->c199->c242->c248->c143->c152->c225->c211->c251->c179->c184->c173->c189->c125->c239->c176->c127->c234->c121->c134->c151->s38->s4->s19->c110->c208->s65->s45->s86->c117->s84->s20->s30->s58->s71->c220->c217->c109->s57->c246->s27->c164->c241->s23->s14->c191->c129->c145->c150->s24->s34->s10->s3->s78->c126->s69->s44->s88->s79->s49->c249->s77->c205->c106->c250->s56->s83->s37->s66->c158->c224->c114->c135->c130->c195->c123->c159->p100
193.6000 M37$2 10000 30 73.6000 s36 p100 58 N s36->c132->c164->c241->s23->s14->c129->c126->s69->s44->s88->s79->s49->c249->s77->c205->c106->c250->s56->s83->s37->s66->c158->c224->c114->c135->c130->c195->c123->c159->p100
193.6000 M35$3 10000 32 13.6000 s34 p103 59 N s34->s10->s3->c126->s69->s44->s88->s79->s49->c249->s77->c205->c106->c250->s56->s83->s37->s66->c158->c224->c114->c135->c130->c195->c123->c229->c142->c139->c120->c247->c228->c204->p103
