# time  ID  size  fromHost  toHost  TTL  isResponse
360.0000 M9$6 10000 s8 p100 60 N 
360.0000 M10$6 10000 s9 p101 60 N 
360.0000 M11$6 10000 s10 p104 60 N 
360.0000 M12$6 10000 s11 p102 60 N 
360.0000 M13$6 10000 s12 p100 60 N 
360.0000 M14$6 10000 s13 p104 60 N 
360.0000 M15$6 10000 s14 p101 60 N 
360.0000 M16$6 10000 s15 p100 60 N 
360.0000 M17$6 10000 s16 p103 60 N 
360.0000 M18$6 10000 s17 p101 60 N 
360.0000 M19$6 10000 s18 p103 60 N 
360.0000 M20$6 10000 s19 p100 60 N 
360.0000 M21$6 10000 s20 p103 60 N 
360.0000 M22$6 10000 s21 p101 60 N 
360.0000 M23$6 10000 s22 p104 60 N 
360.0000 M24$6 10000 s23 p102 60 N 
360.0000 M25$6 10000 s24 p101 60 N 
360.0000 M26$6 10000 s25 p103 60 N 
360.0000 M27$6 10000 s26 p102 60 N 
360.0000 M28$6 10000 s27 p100 60 N 
360.0000 M29$6 10000 s28 p103 60 N 
360.0000 M30$6 10000 s29 p103 60 N 
360.0000 M31$6 10000 s30 p101 60 N 
360.0000 M32$6 10000 s31 p101 60 N 
360.0000 M33$6 10000 s32 p102 60 N 
360.0000 M34$6 10000 s33 p102 60 N 
360.0000 M35$6 10000 s34 p103 60 N 
360.0000 M36$6 10000 s35 p103 60 N 
360.0000 M37$6 10000 s36 p104 60 N 
360.0000 M38$6 10000 s37 p104 60 N 
360.0000 M39$6 10000 s38 p100 60 N 
360.0000 M40$6 10000 s39 p104 60 N 
360.0000 M41$6 10000 s40 p104 60 N 
360.0000 M42$6 10000 s41 p100 60 N 
360.0000 M43$6 10000 s42 p100 60 N 
360.0000 M44$6 10000 s43 p103 60 N 
360.0000 M45$6 10000 s44 p103 60 N 
360.0000 M46$6 10000 s45 p104 60 N 
360.0000 M47$6 10000 s46 p103 60 N 
360.0000 M48$6 10000 s47 p100 60 N 
360.0000 M49$6 10000 s48 p101 60 N 
360.0000 M50$6 10000 s49 p104 60 N 
420.0000 M1$7 10000 s0 p102 60 N 
420.0000 M2$7 10000 s1 p100 60 N 
420.0000 M3$7 10000 s2 p102 60 N 
420.0000 M4$7 10000 s3 p102 60 N 
420.0000 M5$7 10000 s4 p101 60 N 
420.0000 M6$7 10000 s5 p102 60 N 
420.0000 M7$7 10000 s6 p103 60 N 
420.0000 M8$7 10000 s7 p100 60 N 
420.0000 M9$7 10000 s8 p100 60 N 
420.0000 M10$7 10000 s9 p102 60 N 
420.0000 M11$7 10000 s10 p102 60 N 
420.0000 M12$7 10000 s11 p102 60 N 
420.0000 M13$7 10000 s12 p102 60 N 
420.0000 M14$7 10000 s13 p100 60 N 
420.0000 M15$7 10000 s14 p104 60 N 
420.0000 M16$7 10000 s15 p100 60 N 
420.0000 M17$7 10000 s16 p104 60 N 
420.0000 M18$7 10000 s17 p100 60 N 
420.0000 M19$7 10000 s18 p103 60 N 
420.0000 M20$7 10000 s19 p102 60 N 
420.0000 M21$7 10000 s20 p100 60 N 
420.0000 M22$7 10000 s21 p101 60 N 
420.0000 M23$7 10000 s22 p104 60 N 
420.0000 M24$7 10000 s23 p104 60 N 
420.0000 M25$7 10000 s24 p100 60 N 
420.0000 M26$7 10000 s25 p103 60 N 
420.0000 M27$7 10000 s26 p100 60 N 
420.0000 M28$7 10000 s27 p102 60 N 
420.0000 M29$7 10000 s28 p102 60 N 
420.0000 M30$7 10000 s29 p100 60 N 
420.0000 M31$7 10000 s30 p102 60 N 
420.0000 M32$7 10000 s31 p104 60 N 
420.0000 M33$7 10000 s32 p100 60 N 
420.0000 M34$7 10000 s33 p101 60 N 
420.0000 M35$7 10000 s34 p104 60 N 
420.0000 M36$7 10000 s35 p100 60 N 
420.0000 M37$7 10000 s36 p102 60 N 
420.0000 M38$7 10000 s37 p103 60 N 
420.0000 M39$7 10000 s38 p101 60 N 
420.0000 M40$7 10000 s39 p103 60 N 
420.0000 M41$7 10000 s40 p103 60 N 
420.0000 M42$7 10000 s41 p103 60 N 
420.0000 M43$7 10000 s42 p100 60 N 
420.0000 M44$7 10000 s43 p103 60 N 
420.0000 M45$7 10000 s44 p103 60 N 
420.0000 M46$7 10000 s45 p103 60 N 
420.0000 M47$7 10000 s46 p102 60 N 
420.0000 M48$7 10000 s47 p103 60 N 
420.0000 M49$7 10000 s48 p101 60 N 
420.0000 M50$7 10000 s49 p103 60 N 
480.0000 M1$8 10000 s0 p101 60 N 
480.0000 M2$8 10000 s1 p104 60 N 
480.0000 M3$8 10000 s2 p104 60 N 
480.0000 M4$8 10000 s3 p103 60 N 
480.0000 M5$8 10000 s4 p102 60 N 
480.0000 M6$8 10000 s5 p102 60 N 
480.0000 M7$8 10000 s6 p102 60 N 
480.0000 M8$8 10000 s7 p101 60 N 
480.0000 M9$8 10000 s8 p104 60 N 
480.0000 M10$8 10000 s9 p101 60 N 
